timestamp,device_id,temperature,vibration,power_usage
2026-03-13T05:41:38.887302,Device-004,45.2,0.18,13.4
2026-03-13T05:41:38.887302,Device-005,49.74,1.08,49.88
2026-03-13T05:41:38.887302,Device-001,35.31,1.05,27.75
2026-03-13T05:41:38.887302,Device-005,22.18,1.18,17.76
2026-03-13T05:41:38.887302,Device-004,31.15,1.77,46.61
2026-03-13T05:41:38.887302,Device-003,57.18,1.62,32.39
2026-03-13T05:41:38.887302,Device-002,25.43,1.9,29.86
2026-03-13T05:41:38.887302,Device-001,24.53,1.85,19.53
2026-03-13T05:41:38.887302,Device-005,45.14,0.87,28.29
2026-03-13T05:41:38.887302,Device-001,48.59,1.68,37.15
2026-03-13T05:41:38.887302,Device-002,26.29,1.87,30.97
2026-03-13T05:41:38.887302,Device-004,47.95,0.7,32.25
2026-03-13T05:41:38.887302,Device-003,30.13,0.61,13.32
2026-03-13T05:41:38.887302,Device-001,54.37,0.8,49.65
2026-03-13T05:41:38.887302,Device-003,56.83,0.83,38.77
2026-03-13T05:41:38.887302,Device-005,29.86,0.18,40.5
2026-03-13T05:41:38.887302,Device-005,32.28,1.14,17.33
2026-03-13T05:41:38.887302,Device-001,46.96,0.52,21.04
2026-03-13T05:41:38.887302,Device-004,33.19,0.74,17.59
2026-03-13T05:41:38.887302,Device-002,34.39,0.38,39.94
2026-03-13T05:41:38.887302,Device-001,36.02,1.59,43.53
2026-03-13T05:41:38.887302,Device-003,56.98,1.52,23.13
2026-03-13T05:41:38.887302,Device-002,53.21,1.41,40.25
2026-03-13T05:41:38.887302,Device-003,27.06,1.84,42.74
2026-03-13T05:41:38.887302,Device-004,36.36,0.83,41.48
2026-03-13T05:41:38.887302,Device-002,36.4,0.93,26.62
2026-03-13T05:41:38.887302,Device-001,57.09,0.45,15.86
2026-03-13T05:41:38.887302,Device-001,48.69,0.94,12.19
2026-03-13T05:41:38.887302,Device-004,29.56,0.39,19.61
2026-03-13T05:41:38.887302,Device-003,35.64,1.43,27.47
2026-03-13T05:41:38.887302,Device-005,44.43,1.71,28.31
2026-03-13T05:41:38.887302,Device-003,36.55,1.47,49.64
2026-03-13T05:41:38.887302,Device-004,50.77,1.35,24.12
2026-03-13T05:41:38.887302,Device-005,57.49,0.85,31.11
2026-03-13T05:41:38.887302,Device-003,55.54,0.76,12.06
2026-03-13T05:41:38.887302,Device-002,55.17,1.62,44.06
2026-03-13T05:41:38.887302,Device-001,44.27,0.49,39.97
2026-03-13T05:41:38.887302,Device-003,27.53,0.27,17.1
2026-03-13T05:41:38.887302,Device-003,22.09,1.18,36.77
2026-03-13T05:41:38.887302,Device-002,47.89,1.99,46.3
2026-03-13T05:41:38.887302,Device-001,40.09,1.7,40.09
2026-03-13T05:41:38.887302,Device-002,39.45,1.43,26.45
2026-03-13T05:41:38.887302,Device-005,47.05,0.24,44.43
2026-03-13T05:41:38.887302,Device-005,36.22,1.24,22.45
2026-03-13T05:41:38.887302,Device-005,21.79,0.88,15.01
2026-03-13T05:41:38.887302,Device-004,38.58,1.03,23.93
2026-03-13T05:41:38.887302,Device-001,34.7,1.89,32.64
2026-03-13T05:41:38.887302,Device-004,22.62,1.15,39.39
2026-03-13T05:41:38.887302,Device-003,27.9,1.72,10.09
2026-03-13T05:41:38.887302,Device-004,21.84,1.94,47.89
2026-03-13T05:41:38.887302,Device-003,36.95,0.35,22.36
2026-03-13T05:41:38.887302,Device-002,56.49,1.7,13.81
2026-03-13T05:41:38.887302,Device-001,46.7,0.34,29.96
2026-03-13T05:41:38.887302,Device-001,46.11,1.24,48.18
2026-03-13T05:41:38.887302,Device-004,31.71,1.59,21.02
